Date,Open,High,Low,Close
06-Jun-11,18344.27,18458.63,18258.42,18420.11
07-Jun-11,18355.3,18545.95,18351.24,18495.62
08-Jun-11,18448.4,18505.1,18365.94,18394.29
09-Jun-11,18394.57,18449.64,18327.01,18384.9
10-Jun-11,18390.41,18399.02,18182.9,18268.54
13-Jun-11,18242.25,18313.21,18120.76,18266.03
14-Jun-11,18276.78,18380.19,18261.11,18308.66
15-Jun-11,18298.59,18308.69,18111.21,18132.24
16-Jun-11,18060.11,18155.1,17958.94,17985.88
17-Jun-11,18060.17,18064.76,17844.09,17870.53
20-Jun-11,17925.17,17925.17,17314.38,17506.63
21-Jun-11,17574.37,17714.88,17504.27,17560.3
22-Jun-11,17659.37,17678.86,17492.19,17550.63
23-Jun-11,17526.92,17754.55,17482.21,17727.49
24-Jun-11,17804.94,18268.95,17804.94,18240.68
27-Jun-11,18132.7,18494.11,18132.7,18412.41
28-Jun-11,18493.59,18527.45,18323.44,18492.45
29-Jun-11,18552.19,18715.39,18552.19,18693.86
30-Jun-11,18741.1,18873.39,18723.14,18845.87
01-Jul-11,18974.96,19031.38,18713.07,18762.8
04-Jul-11,18896.24,18942.42,18781.88,18814.48
05-Jul-11,18837.88,18837.88,18694.05,18744.56
06-Jul-11,18730.29,18823.45,18682.6,18726.97
07-Jul-11,18776.62,19097.78,18767.25,19078.3
08-Jul-11,19084.06,19131.7,18817.71,18858.04
11-Jul-11,18823.19,18843.97,18679.49,18721.39
12-Jul-11,18534.11,18589.19,18326.42,18411.62
13-Jul-11,18468.82,18626.41,18465.4,18596.02
14-Jul-11,18563.69,18803.05,18449.23,18618.2
15-Jul-11,18694.19,18936.43,18513.22,18561.92
18-Jul-11,18592.19,18622.56,18469.53,18507.04
19-Jul-11,18521.38,18690.42,18481.83,18653.87
20-Jul-11,18756.31,18765.6,18473.9,18502.38
21-Jul-11,18514.65,18566.99,18415.36,18436.19
22-Jul-11,18565.04,18747.06,18533.43,18722.3
25-Jul-11,18753.35,18932.27,18670.84,18871.29
26-Jul-11,18898.19,18944.6,18481.63,18518.22
27-Jul-11,18571.15,18578.55,18358.76,18432.25
28-Jul-11,18300.55,18327.85,18188.88,18209.52
29-Jul-11,18194.15,18334.27,18131.86,18197.2
01-Aug-11,18352.23,18440.07,18219.25,18314.33
02-Aug-11,18283.55,18283.55,18037.87,18109.89
03-Aug-11,17970.19,18005.76,17859.5,17940.55
04-Aug-11,17983.86,18032.55,17664.73,17693.18
05-Aug-11,17350.37,17358.18,16990.91,17305.87
08-Aug-11,16907.57,17247.87,16759.45,16990.18
09-Aug-11,16517.87,17135.04,16432,16857.91
10-Aug-11,17244.71,17256.46,17022.25,17130.51
11-Aug-11,17056.61,17207.82,17012.95,17059.4
12-Aug-11,17246.88,17246.88,16784.56,16839.63
16-Aug-11,17015.99,17035.49,16673.52,16730.94
17-Aug-11,16782.24,17000.38,16708.98,16840.8
18-Aug-11,16910.27,16916.81,16433.31,16469.79
19-Aug-11,16237.78,16287.72,15987.77,16141.67
22-Aug-11,16155.99,16370.46,16046.48,16341.7
23-Aug-11,16446.85,16549.21,16213.18,16498.47
24-Aug-11,16490.78,16533.22,16253.78,16284.98
25-Aug-11,16338.14,16373.84,16104.34,16146.33
26-Aug-11,16155.55,16256.38,15765.53,15848.83
29-Aug-11,16080.74,16462.03,16068.73,16416.33
30-Aug-11,16585.1,16714.7,16443.35,16676.75
02-Sep-11,16963.67,16989.86,16688.06,16821.46
05-Sep-11,16678.34,16760.07,16561.46,16713.33
06-Sep-11,16663.73,16894.73,16488.3,16862.81
07-Sep-11,16922.31,17157.21,16922.31,17065
08-Sep-11,17118.08,17209.66,16987.37,17165.54
09-Sep-11,17189.75,17211.8,16830.95,16866.97
12-Sep-11,16668.25,16668.25,16393.04,16501.74
13-Sep-11,16618.17,16766.19,16374.68,16467.44
14-Sep-11,16522.71,16754.22,16387.38,16709.6
15-Sep-11,16837.76,16922.4,16545.47,16876.54
16-Sep-11,17047.73,17122.54,16889.58,16933.83
19-Sep-11,16865.93,16865.93,16709.41,16745.35
20-Sep-11,16768.63,17135.44,16758.69,17099.28
21-Sep-11,17128.83,17191.12,17000.61,17065.15
22-Sep-11,16827.85,16833.61,16316.03,16361.15
23-Sep-11,16222.37,16368.41,16052.47,16162.06
26-Sep-11,16209.19,16209.19,15801.01,16051.1
27-Sep-11,16289.32,16551.65,16282.74,16524.03
